filename,width,height,ROV,Duto,Cruzamento,Sucata_bb,Flange,Flutuador,Equipamento
002gdc6AqN.png,640,480,0,1,0,0,0,0,0
002XqO4GWC.png,1920,1080,1,0,0,0,0,0,1
00aj1Didv4.png,1280,720,0,1,1,0,0,0,0
00blfgHCXJ.png,1920,1080,0,1,0,0,0,0,0
00HpHGyzqU.png,1920,1080,0,1,0,0,0,0,0
00OMy91n9f.png,1920,1080,1,0,0,0,0,0,0
00UhwQ6jUq.png,1920,1080,1,0,0,0,0,0,0
00xe63TCVP.png,720,576,1,0,0,0,0,0,0
00YLO1p9lv.png,1920,1080,1,0,0,0,0,0,0
012RDFTQD4.png,1920,1080,1,0,0,1,0,0,0
01EuF1ePJN.png,1920,1080,0,1,0,0,1,0,0
01EZpq1R7j.png,1920,1080,0,1,0,0,0,0,0
01j7SbgX5R.png,720,480,0,0,0,0,1,0,0
01KTBvZeHg.png,1920,1080,0,0,0,1,1,0,0
01PpFEkPVe.png,704,480,1,1,0,0,0,0,0
01r0IIu5ui.png,1920,1080,1,0,0,0,0,0,0
01uX0Yv09z.png,1920,1080,1,0,0,0,1,0,0
01yCZ4ojU9.png,720,480,1,1,0,0,1,0,0
02085KMRLe.png,1920,1080,0,1,0,0,0,0,0
021ucqxY9h.png,1920,1080,0,1,0,0,1,0,1
026VL1bUEo.png,1920,1080,0,0,0,0,0,0,0
02BaNvfUxW.png,640,480,0,1,0,0,0,0,0
02jtHJUFnZ.png,1920,1080,0,0,0,0,0,0,0
02K2tAdwCV.png,1920,1080,1,0,0,0,1,0,0
02mcuc1XAv.png,1920,1080,0,1,0,0,0,0,0
02mO2fmJLo.png,640,480,0,1,0,0,0,0,0
02mPqe38OB.png,352,240,0,1,0,0,0,0,0
02P7geKvnE.png,1920,1080,1,1,0,0,0,0,0
02R2rwRxRf.png,1920,1080,1,1,0,0,0,0,0
035cJCQd0D.png,352,240,0,0,0,0,0,1,0
038cGI1IXP.png,1920,1080,0,1,0,0,0,0,0
03C0DqO3zC.png,1920,1080,1,0,0,0,1,0,0
03d8EHfuOk.png,1920,1080,0,1,0,0,0,1,0
03sbI3DxNj.png,1920,1080,0,0,0,0,0,0,0
03tkwsuEit.png,704,480,1,1,0,0,0,0,0
03wP5Ye6Jk.png,720,576,1,0,0,0,0,0,0
